symbol,DiseaseSpecific_ClinicLabel,drug_information,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,GeneFamily,score,GeneCard_Score
BDNF,0,Soft negative,0.0048045381109011,No data,0,1,0,1,0,0.8785400000000003,No data,-0.47197332777662016,-0.8847431524590615,0,-1,No data,0,0.5,0.5,BDNF,0.06529314366354078,0.06048860555263968
SERPINB2,0,Soft negative,0.0523020536815662,No data,0,1,0,0,0,0,No data,0.6345071889977079,-0.24446889392846172,0,No data,No data,0,0.5,0,SERPINB,0.074867427178758,0.022565373497191794
STK4,0,Soft negative,0.0305864287737059,No data,0,0,1,1,0,0.8665300000000002,No data,-0.4650968951864972,0,0,-1,No data,-0.4507175,0.5,-1,STK,0.046501474241700605,0.015915045467994705
ANXA4,0,Soft negative,0.0013419124605305,No data,0,0,0,0,0,0.5794400000000003,No data,0.13263179829131078,0,0,No data,No data,0,0.5,-1,ANXA,0.020016442715202087,0.018674530254671588
TMEM175,0,Soft negative,0.0192355830122069,No data,0,0,0,0,0,0.027779999999999916,No data,0.27214002917274427,-0.29793727552881316,0,No data,No data,No data,-1,-1,TMEM,0.028399126395706725,0.009163543383499825
HLA-DQB1,0,Hard negative,0.2007532046135976,No data,0,0,No data,No data,No data,No data,No data,0.042508856011669094,-0.7859250378311563,0,-1,No data,-0.46360250000000003,0.5,0,HLA,0.5118409217260169,0.3110877171124193
SUPT20H,0,Hard negative,0.1847899273423509,No data,0,0,0,0,0,0.42233500000000035,No data,-0.12742237966242964,-0.7567078663761923,0,No data,No data,0,0.5,-1,SUPT,0.5158507619909021,0.3310608346485511
HLA-DQA1,0,Hard negative,0.2922271750757255,No data,1,0,0,0,0,No data,No data,0.0750156282558867,0,0,-1,No data,-0.735295,0.5,0,HLA,0.5179142531275347,0.22568707805180924
CRP,0,Hard negative,0.1068892286988679,No data,0,1,0,0,1,0,No data,0.9482183788289227,-0.6781325815419675,0,No data,No data,0,1,0.5,CRP,0.5195367483711358,0.4126475196722679
CD226,0,Hard negative,0.4466716075301628,No data,1,0,0,0,0,0,No data,-0.2614086267972494,-0.5618952252208975,0,No data,No data,0,0.75,0,CD,0.5223739573860436,0.0757023498558809
JAZF1,0,Hard negative,0.4448720824775181,No data,0,0,0,0,0,0.9794249999999998,No data,-0.6228380912690143,-0.37488308494159406,0,No data,No data,No data,0.5,-1,JAZF,0.5226033594982556,0.0777312770207376
IRF8,0,Hard negative,0.4626811807767954,No data,0,0,0,0,0,0.4835700000000003,No data,-0.6987914148780996,-0.8355707132960744,0,No data,No data,0,0.5,0,IRF,0.5267855412380101,0.06410436046121477
ETS1,0,Hard negative,0.4158369254800131,No data,0,0,0,0,1,0.5463900000000003,No data,-0.6400291727443217,-0.9202363218672646,0,-1,No data,0,0.5,-1,ETS,0.5305742143048768,0.11473728882486375
ARID5B,0,Hard negative,0.4831436422727554,No data,1,0,0,0,0,0.39814999999999967,No data,-0.9734319649927068,-0.8666773335478478,0,-1,No data,0,0.5,-1,ARID,0.5328725482436608,0.04972890597090537
NFKBIA,0,Hard negative,0.3712388280181243,No data,0,0,1,1,0,0.5425849999999997,No data,-0.8945613669514483,-0.845692957481306,0,-1,No data,0,0.5,-1,NFKBIA,0.53435767355811,0.16311884553998574
MICB,0,Hard negative,0.3765596124973717,No data,1,0,0,0,0,0,No data,0.20025005209418634,No data,0,No data,No data,-0.25587499999999996,0.5,0,MICB,0.5355611211040163,0.15900150860664464
SPRED2,0,Hard negative,0.4810676493236245,No data,0,0,0,0,0,0.6052649999999999,No data,0.19576995207334869,-0.8177939085605809,0,No data,No data,0,-1,-1,SPRED,0.5502539185808623,0.06918626925723771
HLA-C,0,Hard negative,0.3601081922317272,No data,1,0,0,0,0,No data,No data,0.1346113773702855,-0.6726708956888355,0,-1,No data,-0.6379774999999999,0.5,0,HLA,0.5540064997604707,0.19389830752874349
HOXD13,0,Soft negative,0.0797120997594313,No data,0,0,0,0,0,0.6792999999999999,No data,0.054073765367784965,-0.11484363154724286,0,No data,No data,0,0.75,0.5,HOXD,0.10221965149309475,0.022507551733663443
