symbol,DiseaseSpecific_ClinicLabel,drug_information,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,GeneFamily,score,GeneCard_Score
ENPP1,0,Hard negative,0.6124796426853469,No data,1,1,1,1,0,0,No data,-0.394248802,-0.970824227,0,No data,No data,0,0.5,0,ENPP,1.0287198379994145,0.4162401953140674
PDX1,0,Hard negative,0.5165065058643317,No data,0,0,0,0,0,0.38162499999999966,No data,0.17566159616586785,-0.875743224,0,No data,No data,0,0.75,0.5,PDX,1.0438135050858348,0.5273069992215031
PAX4,0,Hard negative,0.6090436797451718,No data,0,0,0,0,0,0,No data,-0.020733486,-0.720922766,0,No data,No data,0,No data,No data,PAX,1.067080534360832,0.4580368546156602
NEUROD1,0,Hard negative,0.6479684012303865,No data,0,0,0,0,0,0.8876399999999997,No data,-0.480620963,-0.874099307,0,No data,No data,0,0.75,0.5,NEUROD,1.0988041144173537,0.45083571318696736
TCF7L2,0,Hard negative,0.6533270916830352,No data,0,0,1,1,0,0.7415199999999998,No data,-0.794957283,-0.88424105,0,-1,-1,0,-1,-1,TCF,1.1059805923639707,0.4526535006809356
SLC2A2,0,Hard negative,0.6948189256137794,No data,1,0,1,1,0,0.0458,No data,0.015419879141487902,-0.780685192,0,No data,No data,0,1,0.5,SLC,1.1267872954208793,0.43196836980709985
HNF1B,0,Hard negative,0.7732500005906213,No data,0,0,0,0,0,0.8204650000000001,No data,No data,-0.681508484,0,No data,No data,0,0.5,0,HNF,1.3474237307868353,0.57417373
WFS1,0,Hard negative,0.7407026493749712,No data,0,0,0,0,0,0.3426949999999998,No data,0.9581162742237965,-0.740800714,0,No data,No data,No data,-1,0,WFS,1.470519868618264,0.7298172192432927
CDKN2A,0,Hard negative,0.3941794677984312,No data,0,0,0,0,0,No data,No data,0.0492811,-0.710375573,0,No data,-1,-0.23077,0.5,0,CDKN,0.6530330849728512,0.25885361717441996
HHEX,0,Hard negative,0.4938659437848369,No data,0,0,0,0,0,No data,No data,-0.401125234,-0.968225284,0,No data,No data,No data,0.5,0,HHEX,0.6521001058060139,0.15823416202117696
JAZF1,0,Hard negative,0.5311980024715279,No data,0,0,0,0,0,0.9794249999999998,No data,-0.622838091,-0.374883085,0,No data,No data,No data,0.5,-1,JAZF,0.6479640444465363,0.11676604197500844
PNPLA3,0,Hard negative,0.484939175,No data,0,0,0,0,0,0,No data,0.23848718483017306,-0.63120237,0,-1,No data,0,1,0.5,PNPLA,0.6474871548727876,0.16254797973441165
ASPN,0,Soft negative,0.003695799,No data,0,1,0,0,0,0.4473700000000001,No data,0.3291310689727027,-0.223108216,No data,No data,No data,0,0.5,0,ASPN,0.019488268,0.015792469
ADAMTS9-AS2,0,Soft negative,0.001478319,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,ADAMTS,0.045010167404228946,0.043531847985490146
SLC9C1,0,Soft negative,0.012420518,No data,0,0,0,0,0,0,No data,-0.178683059,0,0,No data,No data,0,0.75,0.5,SLC,0.023064689477115784,0.010644171707746482
